alternate_degree,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
1,0,0,0,0,1,0,0,0,2
13,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,2
1,0,0,0,1,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,1,0,0,0,2
5,0,0,0,0,1,0,0,0,2
8,0,0,0,0,1,0,0,0,2
0,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,1,-1
8,0,0,0,0,0,0,0,0,2
5,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,0,0,1,-1
8,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,2
5,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,1,0,0,0,2
11,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,2
5,0,0,0,0,0,0,0,0,2
11,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,1,0,0,-1
8,0,0,0,0,1,0,0,0,2
11,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,-1
14,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,2
8,0,0,0,0,1,0,0,0,2
2,0,0,0,0,0,0,0,0,2
4,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
12,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,0,2
13,0,0,0,0,0,0,0,0,-1
9,0,0,0,0,0,0,0,0,2
11,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,2
9,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,2
8,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,-1
14,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,2
13,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,1,-1
8,0,0,0,0,0,0,0,0,2
3,0,0,0,0,0,0,0,0,2
8,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
10,0,0,0,0,0,1,0,0,-1
8,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,2
8,0,0,0,0,1,0,0,0,2
0,0,0,0,0,1,0,0,0,2
3,0,0,0,0,0,0,0,0,2
8,0,0,0,0,0,0,0,0,-1
11,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,2
10,0,0,0,0,0,0,0,0,2
8,0,0,0,0,1,0,0,0,2
8,0,0,0,0,0,0,0,1,-1
2,0,0,0,0,0,0,0,0,2
8,0,0,0,0,0,0,0,0,2
1,0,0,0,1,0,0,0,0,-1
13,0,0,0,1,0,0,0,0,-1
13,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,1,-1
8,0,0,0,0,1,0,0,0,2
1,0,0,0,1,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,2
1,0,0,0,1,0,0,0,0,-1
11,0,0,0,0,1,0,0,0,2
0,1,0,0,0,0,0,0,0,-1
13,0,0,0,0,0,1,0,0,-1
2,0,0,0,0,0,0,0,0,2
13,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,2
8,0,0,0,0,0,0,0,0,2
5,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,2
8,0,0,0,0,0,0,0,0,2
8,0,0,0,0,0,0,0,0,2
3,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,0,-1
0,1,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,2
8,0,0,0,0,0,0,0,0,2
11,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,2
11,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,2
3,0,0,0,0,0,0,0,0,2
8,0,0,0,0,1,0,0,0,2
2,0,0,0,0,0,0,0,0,2
12,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,0,-1
11,0,0,0,0,0,0,0,0,2
3,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
3,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,1,0,0,-1
2,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,1,0,0,-1
1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,0,2
0,0,0,0,0,0,0,0,0,2
8,0,0,0,0,0,0,0,0,2
5,0,0,0,0,0,0,0,0,-1
8,0,0,0,0,0,0,0,0,2
8,0,0,0,0,1,0,0,0,2
3,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,2
8,0,0,0,0,0,0,0,0,-1
2,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,0,2
2,0,0,0,0,0,0,0,0,-1
